name,LG,cM
SG_1_001,1,0
SG_1_002,1,7.351243
SG_1_003,1,10.755375
SG_1_004,1,11.5555855
SG_1_005,1,12.3588503
SG_1_006,1,16.8544663
SG_1_007,1,20.4645323
SG_1_008,1,21.4990503
SG_1_009,1,22.0229401
SG_1_010,1,22.3152723
SG_1_011,1,22.31530077
SG_1_012,1,23.75800177
SG_1_013,1,25.85598877
SG_1_014,1,27.59430277
SG_1_015,1,28.14865087
SG_1_016,1,29.27879187
SG_1_017,1,29.93071657
SG_1_018,1,30.60542547
SG_1_019,1,31.59744807
SG_1_020,1,37.81874307
SG_1_021,1,40.25901407
SG_1_022,1,40.84835067
SG_1_023,1,42.10051667
SG_1_024,1,42.36452477
SG_1_025,1,42.63303817
SG_1_026,1,42.95082937
SG_1_027,1,43.72145057
SG_1_028,1,44.01536867
SG_1_029,1,46.38823567
SG_1_030,1,47.40876267
SG_1_031,1,47.40954513
SG_1_032,1,48.90953213
SG_1_033,1,49.22686833
SG_1_034,1,49.38232843
SG_1_035,1,51.87825443
SG_1_036,1,54.10836243
SG_1_037,1,54.10839815
SG_1_038,1,54.10843972
SG_1_039,1,55.63618772
SG_1_040,1,59.34455172
SG_1_041,1,60.60351272
SG_1_042,1,62.78175672
SG_1_043,1,63.04697112
SG_1_044,1,63.43397812
SG_1_045,1,64.72268712
SG_1_046,1,67.07182312
SG_1_047,1,68.12174112
SG_1_048,1,68.37939852
SG_1_049,1,68.37942508
SG_1_050,1,72.70657908
SG_1_051,1,79.93997508
SG_1_052,1,82.41553508
SG_1_053,1,85.92517408
SG_1_054,1,90.80023808
SG_1_055,1,94.31075408
SG_1_056,1,94.77307158
SG_1_057,1,95.78945658
SG_1_058,1,103.5879426
SG_1_059,1,116.5207126
SG_1_060,1,118.2653856
SG_1_061,1,119.5125856
SG_1_062,1,119.7689396
SG_1_063,1,119.7689639
SG_1_064,1,121.7219819
SG_1_065,1,122.4770404
SG_1_066,1,127.3683144
SG_1_067,1,128.2300861
SG_1_068,1,129.1568277
SG_1_069,1,131.9701927
SG_1_070,1,132.0328265
SG_1_071,1,137.8942915
SG_1_072,1,141.0614535
SG_1_073,1,142.4092955
SG_1_074,1,143.9983405
SG_1_075,1,144.9902104
SG_1_076,1,144.9960681
SG_1_077,1,145.7608659
SG_1_078,1,146.7879909
SG_1_079,1,147.3111191
SG_1_080,1,150.8520081
SG_1_081,1,153.4482481
SG_1_082,1,156.1812651
SG_1_083,1,159.6819081
SG_1_084,1,163.1082281
SG_1_085,1,169.5283921
SG_1_086,1,172.5558731
SG_1_087,1,174.6008401
SG_1_088,1,174.8647492
SG_1_089,1,175.3898303
SG_1_090,1,176.1826302
SG_1_091,1,176.921341
SG_1_092,1,181.215971
SG_1_093,1,186.037959
SG_1_094,1,190.989452
SG_1_095,1,195.818824
SG_1_096,1,196.1931809
SG_1_097,1,196.9606483
SG_1_098,1,201.1978263
SG_1_099,1,202.1434822
SG_1_100,1,204.2610072
SG_1_101,1,206.9251742
SG_1_102,1,209.5604872
SG_1_103,1,212.5477562
SG_1_104,1,213.6076202
SG_1_105,1,215.1781392
SG_1_106,1,215.9486532
SG_1_107,1,216.2079114
SG_1_108,1,216.4665963
SG_1_109,1,218.5269813
SG_1_110,1,219.8245513
SG_1_111,1,221.4184603
SG_1_112,1,226.8768523
SG_1_113,1,232.1218443
SG_1_114,1,234.3470683
SG_1_115,1,235.1567439
SG_1_116,1,236.7543019
SG_1_117,1,237.2397449
SG_1_118,1,239.2162049
SG_1_119,1,246.6994519
SG_1_120,1,257.0857019
SG_1_121,1,263.5893459
SG_1_122,1,267.3693349
SG_1_123,1,267.9576195
SG_1_124,1,268.5518389
SG_1_125,1,268.830003
SG_1_126,1,270.314054
SG_1_127,1,271.959527
SG_1_128,1,274.533314
SG_1_129,1,278.732486
SG_1_130,1,283.959362
SG_1_131,1,283.9597507
SG_1_132,1,284.3471098
SG_1_133,1,287.2153478
SG_1_134,1,287.8480155
SG_1_135,1,292.4181855
SG_1_136,1,300.5340245
SG_1_137,1,307.2337615
SG_1_138,1,308.5481785
SG_1_139,1,308.8767421
SG_1_140,1,310.7629711
SG_1_141,1,311.7648261
SG_1_142,1,312.8672531
SG_1_143,1,314.2434371
SG_1_144,1,315.8154831
SG_1_145,1,316.4398909
SG_1_146,1,316.896178
SG_1_147,1,317.6600511
SG_1_148,1,319.1418111
SG_1_149,1,321.0819211
SG_1_150,1,325.1244771
SG_1_151,1,328.2694551
SG_1_152,1,333.6994261
SG_1_153,1,337.8708971
SG_1_154,1,345.8832261
SG_1_155,1,355.3831291
SG_1_156,1,357.6634901
SG_1_157,1,360.1107291
SG_1_158,1,362.0847341
SG_1_159,1,366.0271581
SG_1_160,1,368.4294871
SG_1_161,1,373.0590311
SG_1_162,1,373.8842757
SG_1_163,1,374.5273087
SG_1_164,1,375.6748837
SG_1_165,1,376.9938297
SG_1_166,1,377.594224
SG_1_167,1,378.1855646
SG_1_168,1,381.2421816
SG_1_169,1,384.1730606
SG_1_170,1,389.2442296
SG_1_171,1,394.9038616
SG_1_172,1,396.4473656
SG_1_173,1,398.0192826
SG_1_174,1,402.5086506
SG_1_175,1,406.5972506
SG_1_176,1,407.3848494
SG_1_177,1,407.3848752
SG_1_178,1,407.3849023
SG_1_179,1,408.3995953
SG_1_180,1,410.6445273
SG_1_181,1,418.8227383
SG_1_182,1,426.7555623
SG_1_183,1,429.1945533
SG_1_184,1,442.3546833
SG_2_001,2,0
SG_2_002,2,4.78854
SG_2_003,2,5.966195
SG_2_004,2,7.785207
SG_2_005,2,8.915883
SG_2_006,2,11.10139
SG_2_007,2,13.753679
SG_2_008,2,19.489434
SG_2_009,2,22.966531
SG_2_010,2,26.785774
SG_2_011,2,32.635508
SG_2_012,2,35.414487
SG_2_013,2,40.787313
SG_2_014,2,45.493055
SG_2_015,2,49.041315
SG_2_016,2,51.430475
SG_2_017,2,53.213726
SG_2_018,2,53.7325766
SG_2_019,2,53.991738
SG_2_020,2,54.8585189
SG_2_021,2,57.0169979
SG_2_022,2,57.3031141
SG_2_023,2,58.1637224
SG_2_024,2,58.6224732
SG_2_025,2,60.2508812
SG_2_026,2,62.1682342
SG_2_027,2,63.3246712
SG_2_028,2,63.9012332
SG_2_029,2,65.5429332
SG_2_030,2,68.3784892
SG_2_031,2,70.6261842
SG_2_032,2,71.5230892
SG_2_033,2,74.7291312
SG_2_034,2,79.7374242
SG_2_035,2,83.8423802
SG_2_036,2,84.8851562
SG_2_037,2,85.9228752
SG_2_038,2,87.1128452
SG_2_039,2,88.3805952
SG_2_040,2,89.9312722
SG_2_041,2,91.7966332
SG_2_042,2,91.79671854
SG_2_043,2,94.17254054
SG_2_044,2,95.84608054
SG_2_045,2,98.29254554
SG_2_046,2,99.55272454
SG_2_047,2,99.76101994
SG_2_048,2,102.8414289
SG_2_049,2,107.1149629
SG_2_050,2,112.8530849
SG_2_051,2,113.3200953
SG_2_052,2,120.8816153
SG_2_053,2,126.6127703
SG_2_054,2,128.3032113
SG_2_055,2,137.1091583
SG_2_056,2,138.7707023
SG_2_057,2,139.8235333
SG_2_058,2,140.7033534
SG_2_059,2,141.4805205
SG_2_060,2,142.5069935
SG_2_061,2,142.5069958
SG_2_062,2,143.4140016
SG_2_063,2,146.2130386
SG_2_064,2,147.3427986
SG_2_065,2,147.6745981
SG_2_066,2,148.5461354
SG_2_067,2,148.7956541
SG_2_068,2,148.7956598
SG_2_069,2,149.8174968
SG_2_070,2,149.8174977
SG_2_071,2,149.8174986
SG_2_072,2,151.5690666
SG_2_073,2,152.5142488
SG_2_074,2,153.0877329
SG_2_075,2,160.9553409
SG_2_076,2,166.6361889
SG_2_077,2,166.6362792
SG_2_078,2,167.4519895
SG_2_079,2,170.5114835
SG_2_080,2,173.7128725
SG_2_081,2,174.0032453
SG_2_082,2,174.5942102
SG_2_083,2,178.2589742
SG_2_084,2,179.3651402
SG_2_085,2,180.6155332
SG_2_086,2,181.0861012
SG_2_087,2,181.5495123
SG_2_088,2,182.0347202
SG_2_089,2,182.0347213
SG_2_090,2,182.5515546
SG_2_091,2,183.3409921
SG_2_092,2,185.2068031
SG_2_093,2,187.1730761
SG_2_094,2,190.7269151
SG_2_095,2,193.7383831
SG_2_096,2,195.5989281
SG_2_097,2,196.181471
SG_2_098,2,196.46251
SG_2_099,2,199.893881
SG_2_100,2,204.444604
SG_2_101,2,204.4446055
SG_2_102,2,204.7612143
SG_2_103,2,204.7612157
SG_2_104,2,205.5987291
SG_2_105,2,206.7308401
SG_2_106,2,207.9987471
SG_2_107,2,208.3283985
SG_2_108,2,210.5617545
SG_2_109,2,213.5112535
SG_2_110,2,214.8365035
SG_2_111,2,215.570625
SG_2_112,2,216.880635
SG_2_113,2,218.368651
SG_2_114,2,219.3009612
SG_2_115,2,219.587529
SG_2_116,2,222.729547
SG_2_117,2,224.882557
SG_2_118,2,226.145409
SG_2_119,2,231.657452
SG_2_120,2,238.43429
SG_2_121,2,239.90741
SG_2_122,2,239.9074108
SG_2_123,2,240.8282102
SG_2_124,2,241.9781162
SG_2_125,2,246.1826652
SG_3_001,3,0
SG_3_002,3,8.141016
SG_3_003,3,9.989988
SG_3_004,3,13.923576
SG_3_005,3,14.4859827
SG_3_006,3,14.6628221
SG_3_007,3,15.0064758
SG_3_008,3,16.5613128
SG_3_009,3,16.7711171
SG_3_010,3,19.0029601
SG_3_011,3,20.3070111
SG_3_012,3,20.3070111
SG_3_013,3,20.5456808
SG_3_014,3,21.9516708
SG_3_015,3,25.0558228
SG_3_016,3,25.0558228
SG_3_017,3,25.326157
SG_3_018,3,26.085591
SG_3_019,3,27.376542
SG_3_020,3,29.434042
SG_3_021,3,34.080724
SG_3_022,3,36.436166
SG_3_023,3,38.872562
SG_3_024,3,40.042359
SG_3_025,3,41.770337
SG_3_026,3,45.964909
SG_3_027,3,46.2177539
SG_3_028,3,46.2177539
SG_3_029,3,47.7485299
SG_3_030,3,48.2399325
SG_3_031,3,48.5027644
SG_3_032,3,48.5027644
SG_3_033,3,48.5027644
SG_3_034,3,50.4585624
SG_3_035,3,50.9769946
SG_3_036,3,53.3749306
SG_3_037,3,54.4424446
