accession	source
SRR12578105	Nagy
SRR12578106	Nagy
SRR12578107	Nagy
SRR12578108	Nagy
SRR12578109	Nagy
SRR12578110	Nagy
SRR12578111	Nagy
SRR12578112	Nagy
SRR12578113	Nagy
SRR12578114	Nagy
SRR12578115	Nagy
SRR12578116	Nagy
SRR12578117	Nagy
SRR12578118	Nagy
SRR12578119	Nagy
SRR12578120	Nagy
SRR12578121	Nagy
SRR12578122	Nagy
SRR12578123	Nagy
SRR12578124	Nagy
SRR12578125	Nagy
SRR12578126	Nagy
SRR12578127	Nagy
SRR12578128	Nagy
SRR12578129	Nagy
SRR12578130	Nagy
SRR12578131	Nagy
SRR12578132	Nagy
SRR12578133	Nagy
SRR12578134	Nagy
SRR12578135	Nagy
SRR12578136	Nagy
SRR12578137	Nagy
SRR12578138	Nagy
SRR12578139	Nagy
SRR12578140	Nagy
SRR12578141	Nagy
SRR12578142	Nagy
SRR12578143	Nagy
SRR12578144	Nagy
SRR12578145	Nagy
SRR12578146	Nagy
SRR12578147	Nagy
SRR12578148	Nagy
SRR12578149	Nagy
SRR12578150	Nagy
SRR12578151	Nagy
SRR12578152	Nagy
SRR12578153	Nagy
SRR12578154	Nagy
SRR12578155	Nagy
SRR12578156	Nagy
SRR12578157	Nagy
SRR12578158	Nagy
SRR12578159	Nagy
SRR12578160	Nagy
SRR12578161	Nagy
SRR12578162	Nagy
SRR12578163	Nagy
SRR12578164	Nagy
SRR12578165	Nagy
SRR12578166	Nagy
SRR12578167	Nagy
SRR12578168	Nagy
SRR12578169	Nagy
SRR12578170	Nagy
SRR12578171	Nagy
SRR12578172	Nagy
SRR12578173	Nagy
SRR12578174	Nagy
SRR12578175	Nagy
SRR12578176	Nagy
SRR12578177	Nagy
SRR12578178	Nagy
SRR12578179	Nagy
SRR12578180	Nagy
SRR12578181	Nagy
SRR12578182	Nagy
SRR12578183	Nagy
SRR12578184	Nagy
SRR12578185	Nagy
SRR12578186	Nagy
SRR12578187	Nagy
SRR12578188	Nagy
SRR12578189	Nagy
SRR12578190	Nagy
SRR12578191	Nagy
SRR12578192	Nagy
SRR12578193	Nagy
SRR12578194	Nagy
SRR12578195	Nagy
SRR12578196	Nagy
SRR12578197	Nagy
SRR12578198	Nagy
SRR12578199	Nagy
SRR12578200	Nagy
SRR12578201	Nagy
SRR12578202	Nagy
SRR12578203	Nagy
SRR12578204	Nagy
SRR12578205	Nagy
SRR12578206	Nagy
SRR12578207	Nagy
SRR12578208	Nagy
SRR12578209	Nagy
SRR12578210	Nagy
SRR12578211	Nagy
SRR12578212	Nagy
SRR12578213	Nagy
SRR12578214	Nagy
SRR12578215	Nagy
SRR12578216	Nagy
SRR12578217	Nagy
SRR12578218	Nagy
SRR12578219	Nagy
SRR12578220	Nagy
SRR12578221	Nagy
SRR12578222	Nagy
SRR12578223	Nagy
SRR12578224	Nagy
SRR12578225	Nagy
SRR12578226	Nagy
SRR12578227	Nagy
SRR12578228	Nagy
SRR12578229	Nagy
SRR12578230	Nagy
SRR12578231	Nagy
SRR12578232	Nagy
SRR12578233	Nagy
SRR12578234	Nagy
SRR12578235	Nagy
SRR12578236	Nagy
SRR12578237	Nagy
SRR12578238	Nagy
SRR12578239	Nagy
SRR12578240	Nagy
SRR12578241	Nagy
SRR12578242	Nagy
SRR12578243	Nagy
SRR12578244	Nagy
SRR12578245	Nagy
SRR12578246	Nagy
SRR12578247	Nagy
SRR12578248	Nagy
SRR12578249	Nagy
SRR12578250	Nagy
SRR12578251	Nagy
SRR12578252	Nagy
SRR12578253	Nagy
SRR12578254	Nagy
SRR12578255	Nagy
SRR12578256	Nagy
SRR12578257	Nagy
SRR12578258	Nagy
SRR12578259	Nagy
SRR12578260	Nagy
SRR12578261	Nagy
SRR12578262	Nagy
SRR12578263	Nagy
SRR12578264	Nagy
SRR12578265	Nagy
SRR12578266	Nagy
SRR12578267	Nagy
SRR12578268	Nagy
SRR12578269	Nagy
SRR12578270	Nagy
SRR12578271	Nagy
SRR12578272	Nagy
SRR12578273	Nagy
SRR12578274	Nagy
SRR12578275	Nagy
SRR12578276	Nagy
SRR12578277	Nagy
SRR12578278	Nagy
SRR12578279	Nagy
SRR12578280	Nagy
SRR12578281	Nagy
SRR12578282	Nagy
SRR12578283	Nagy
SRR12578284	Nagy
SRR12578285	Nagy
SRR12578286	Nagy
SRR12578287	Nagy
SRR12578288	Nagy
SRR12578289	Nagy
SRR12578290	Nagy
SRR8691037	Griffiths
SRR8691038	Griffiths
SRR8691039	Griffiths
SRR8693957	Griffiths
SRR8693958	Griffiths
SRR8693959	Griffiths
SRR8693960	Griffiths
SRR8693961	Griffiths
SRR8693962	Griffiths
SRR8693963	Griffiths
SRR8693964	Griffiths
SRR8693965	Griffiths
SRR8693966	Griffiths
SRR8693967	Griffiths
SRR8693968	Griffiths
SRR8691040	Griffiths
SRR8691836	Griffiths
SRR8691837	Griffiths
SRR8691838	Griffiths
SRR8691839	Griffiths
SRR8691840	Griffiths
SRR8691841	Griffiths
SRR8691842	Griffiths
SRR8691843	Griffiths
SRR8691844	Griffiths
SRR8691845	Griffiths
SRR8691846	Griffiths
SRR8691847	Griffiths
SRR21383273	Yu
SRR21383274	Yu
SRR21383275	Yu
SRR21383276	Yu
SRR21383277	Yu
SRR21383278	Yu
SRR20706440	Yu
SRR20706441	Yu
SRR20706442	Yu
SRR20706443	Yu
SRR20706444	Yu
SRR20706445	Yu
SRR5814845	Zhang
SRR5814846	Zhang
SRR5814847	Zhang
SRR5814848	Zhang
SRR5814849	Zhang
SRR5814850	Zhang
